DATE_TIME,UNIQUE_ID
2011-01-01,13269
2011-01-02,17058
2011-01-03,43542
2011-01-04,36643
2011-01-05,37219
2011-01-06,35728
2011-01-07,31529
2011-01-08,15893
2011-01-09,14928
2011-01-10,40720
2011-01-11,41625
2011-01-12,43890
2011-01-13,37594
2011-01-14,34404
2011-01-15,15983
2011-01-16,13250
2011-01-17,24443
2011-01-18,40265
2011-01-19,35452
2011-01-20,35454
2011-01-21,33508
2011-01-22,17682
2011-01-23,13525
2011-01-24,39570
2011-01-25,37508
2011-01-26,41379
2011-01-27,44119
2011-01-28,35881
2011-01-29,17637
2011-01-30,17885
2011-01-31,42687
2011-02-01,38677
2011-02-02,38257
2011-02-03,36657
2011-02-04,32084
2011-02-05,16215
2011-02-06,13524
2011-02-07,37360
2011-02-08,37020
2011-02-09,34732
2011-02-10,32832
2011-02-11,28988
2011-02-12,14508
2011-02-13,12658
2011-02-14,34506
2011-02-15,34113
2011-02-16,33915
2011-02-17,33419
2011-02-18,30265
2011-02-19,17162
2011-02-20,14082
2011-02-21,23313
2011-02-22,36878
2011-02-23,34326
2011-02-24,32001
2011-02-25,28844
2011-02-26,16134
2011-02-27,12480
2011-02-28,36527
2011-03-01,34783
2011-03-02,33510
2011-03-03,33126
2011-03-04,29922
2011-03-05,15487
2011-03-06,12139
2011-03-07,36404
2011-03-08,34456
2011-03-09,34577
2011-03-10,33764
2011-03-11,32096
2011-03-12,16154
2011-03-13,12273
2011-03-14,38219
2011-03-15,36479
2011-03-16,34732
2011-03-17,34079
2011-03-18,30659
2011-03-19,16284
2011-03-20,12591
2011-03-21,39224
2011-03-22,39052
2011-03-23,37810
2011-03-24,40064
2011-03-25,30622
2011-03-26,14884
2011-03-27,11874
2011-03-28,36230
2011-03-29,35751
2011-03-30,33899
2011-03-31,31298
2011-04-01,29457
2011-04-02,14503
2011-04-03,11949
2011-04-04,34703
2011-04-05,34370
2011-04-06,34791
2011-04-07,32076
2011-04-08,28569
2011-04-09,14483
2011-04-10,11578
2011-04-11,34563
2011-04-12,32029
2011-04-13,32098
2011-04-14,31831
2011-04-15,29242
2011-04-16,14494
2011-04-17,11364
2011-04-18,34856
2011-04-19,31885
2011-04-20,31011
2011-04-21,31122
2011-04-22,25287
2011-04-23,13470
2011-04-24,11462
2011-04-25,33179
2011-04-26,30479
2011-04-27,32552
2011-04-28,32255
2011-04-29,27903
2011-04-30,14531
2011-05-01,12135
2011-05-02,34890
2011-05-03,31930
2011-05-04,30801
2011-05-05,29677
2011-05-06,26743
2011-05-07,12369
2011-05-08,9424
2011-05-09,33087
2011-05-10,31948
2011-05-11,31356
2011-05-12,30475
2011-05-13,28117
2011-05-14,13302
2011-05-15,10775
2011-05-16,32828
2011-05-17,32162
2011-05-18,30516
2011-05-19,30589
2011-05-20,28016
2011-05-21,14396
2011-05-22,11491
2011-05-23,31047
2011-05-24,33079
2011-05-25,31328
2011-05-26,31611
2011-05-27,27390
2011-05-28,13632
2011-05-29,11449
2011-05-30,16672
2011-05-31,36540
2011-06-01,31417
2011-06-02,32074
2011-06-03,29450
2011-06-04,14596
2011-06-05,11836
2011-06-06,34686
2011-06-07,34822
2011-06-08,33711
2011-06-09,33002
2011-06-10,30012
2011-06-11,14042
2011-06-12,11796
2011-06-13,34360
2011-06-14,33371
2011-06-15,31855
2011-06-16,31452
2011-06-17,28201
2011-06-18,15097
2011-06-19,11480
